mode,affinity,rmsd_lb,rmsd_ub,filename
7,-8.0,7.172999999999999,10.99,CHEMBL248668.txt
8,-8.0,28.956999999999997,31.862,CHEMBL248668.txt
9,-8.0,3.029,4.852,CHEMBL248668.txt
1,-7.5,0.0,0.0,CHEMBL248871.txt
2,-7.3,2.353,3.3930000000000002,CHEMBL248871.txt
3,-7.2,3.233,7.877000000000001,CHEMBL248871.txt
4,-7.2,3.745,8.469,CHEMBL248871.txt
5,-7.0,2.685,4.399,CHEMBL248871.txt
6,-7.0,4.753,8.445,CHEMBL248871.txt
7,-6.9,5.688,9.397,CHEMBL248871.txt
8,-6.8,2.8510000000000004,7.739,CHEMBL248871.txt
9,-6.8,4.363,6.74,CHEMBL248871.txt
1,-9.0,0.0,0.0,CHEMBL243930.txt
2,-8.8,1.4569999999999999,2.9539999999999997,CHEMBL243930.txt
3,-8.4,1.515,1.909,CHEMBL243930.txt
4,-8.3,4.457,8.24,CHEMBL243930.txt
5,-8.3,3.7030000000000003,9.506,CHEMBL243930.txt
6,-8.3,1.9880000000000002,3.418,CHEMBL243930.txt
7,-8.2,1.9980000000000002,3.158,CHEMBL243930.txt
8,-8.0,2.819,8.732000000000001,CHEMBL243930.txt
9,-8.0,2.104,3.6489999999999996,CHEMBL243930.txt
1,-8.4,0.0,0.0,CHEMBL245602.txt
2,-8.4,1.411,2.0069999999999997,CHEMBL245602.txt
3,-8.3,3.5980000000000003,8.448,CHEMBL245602.txt
4,-8.0,2.695,4.172,CHEMBL245602.txt
5,-8.0,4.329,9.086,CHEMBL245602.txt
6,-8.0,3.3,5.0569999999999995,CHEMBL245602.txt
7,-7.8,2.7060000000000004,4.185,CHEMBL245602.txt
8,-7.8,2.09,3.1889999999999996,CHEMBL245602.txt
9,-7.7,3.241,4.774,CHEMBL245602.txt
1,-8.1,0.0,0.0,CHEMBL248911.txt
2,-7.9,0.988,1.327,CHEMBL248911.txt
3,-7.5,3.403,7.938,CHEMBL248911.txt
4,-7.5,3.593,7.955,CHEMBL248911.txt
5,-7.2,3.844,7.434,CHEMBL248911.txt
6,-7.2,3.3080000000000003,5.12,CHEMBL248911.txt
7,-7.1,3.8,7.192,CHEMBL248911.txt
8,-7.0,3.3160000000000003,7.457000000000001,CHEMBL248911.txt
9,-7.0,4.595,8.004,CHEMBL248911.txt
1,-9.1,0.0,0.0,CHEMBL249400.txt
2,-9.0,3.4960000000000004,9.493,CHEMBL249400.txt
3,-9.0,1.117,1.577,CHEMBL249400.txt
4,-9.0,1.383,2.365,CHEMBL249400.txt
5,-8.7,2.487,3.2739999999999996,CHEMBL249400.txt
6,-8.4,1.736,2.302,CHEMBL249400.txt
7,-8.4,1.385,1.93,CHEMBL249400.txt
8,-8.4,2.201,3.3280000000000003,CHEMBL249400.txt
9,-8.3,2.42,3.0380000000000003,CHEMBL249400.txt
1,-9.6,0.0,0.0,CHEMBL249429.txt
2,-9.5,1.645,2.7119999999999997,CHEMBL249429.txt
3,-9.5,3.687,9.464,CHEMBL249429.txt
4,-9.3,2.249,2.5069999999999997,CHEMBL249429.txt
5,-9.2,3.676,10.305,CHEMBL249429.txt
6,-9.1,2.65,3.8089999999999997,CHEMBL249429.txt
7,-9.0,6.108,10.457,CHEMBL249429.txt
8,-8.9,7.1,12.6,CHEMBL249429.txt
9,-8.8,2.315,3.332,CHEMBL249429.txt
1,-9.9,0.0,0.0,CHEMBL249401.txt
2,-9.7,3.466,9.565,CHEMBL249401.txt
3,-9.3,3.4739999999999998,8.661,CHEMBL249401.txt
4,-9.2,3.9789999999999996,10.24,CHEMBL249401.txt
5,-9.2,4.013,6.899,CHEMBL249401.txt
6,-8.9,3.4539999999999997,5.269,CHEMBL249401.txt
7,-8.9,4.234,6.946000000000001,CHEMBL249401.txt
8,-8.8,5.577000000000001,11.335,CHEMBL249401.txt
9,-8.8,4.119,10.055,CHEMBL249401.txt
1,-8.4,0.0,0.0,CHEMBL248910.txt
2,-8.0,3.2030000000000003,6.348,CHEMBL248910.txt
3,-7.7,3.307,7.442,CHEMBL248910.txt
4,-7.7,2.844,5.68,CHEMBL248910.txt
5,-7.5,3.1710000000000003,4.66,CHEMBL248910.txt
6,-7.5,3.6839999999999997,7.438,CHEMBL248910.txt
7,-7.4,3.502,5.68,CHEMBL248910.txt
8,-7.4,3.37,5.667999999999999,CHEMBL248910.txt
9,-7.3,2.852,5.178999999999999,CHEMBL248910.txt
1,-10.9,0.0,0.0,CHEMBL247821.txt
2,-10.8,3.361,4.973,CHEMBL247821.txt
3,-10.6,1.455,1.837,CHEMBL247821.txt
4,-10.6,3.4019999999999997,5.377000000000001,CHEMBL247821.txt
5,-10.6,3.377,5.996,CHEMBL247821.txt
6,-10.5,1.41,1.824,CHEMBL247821.txt
7,-10.4,1.758,3.7439999999999998,CHEMBL247821.txt
8,-10.4,1.474,1.992,CHEMBL247821.txt
9,-10.0,1.739,2.21,CHEMBL247821.txt
1,-10.4,0.0,0.0,CHEMBL245603.txt
2,-9.6,3.3,5.189,CHEMBL245603.txt
3,-9.6,1.416,2.015,CHEMBL245603.txt
4,-9.6,3.253,4.955,CHEMBL245603.txt
5,-9.4,18.487000000000002,22.092,CHEMBL245603.txt
6,-9.2,1.771,2.6630000000000003,CHEMBL245603.txt
7,-9.1,1.595,2.269,CHEMBL245603.txt
8,-9.1,2.7510000000000003,4.393,CHEMBL245603.txt
9,-9.1,4.6,10.811,CHEMBL245603.txt
1,-9.2,0.0,0.0,CHEMBL243500.txt
2,-9.2,1.649,2.309,CHEMBL243500.txt
3,-8.8,3.242,6.4910000000000005,CHEMBL243500.txt
4,-8.8,1.413,2.1630000000000003,CHEMBL243500.txt
5,-8.8,3.063,5.784,CHEMBL243500.txt
6,-8.7,2.99,6.068,CHEMBL243500.txt
7,-8.7,3.1310000000000002,6.7139999999999995,CHEMBL243500.txt
8,-8.7,3.647,7.693,CHEMBL243500.txt
9,-8.6,3.367,8.283,CHEMBL243500.txt
1,-8.8,0.0,0.0,CHEMBL247028.txt
2,-8.7,1.311,1.5490000000000002,CHEMBL247028.txt
3,-8.6,2.324,3.6510000000000002,CHEMBL247028.txt
4,-8.5,3.267,4.17,CHEMBL247028.txt
5,-8.5,6.8839999999999995,10.234,CHEMBL247028.txt
6,-8.4,1.8559999999999999,2.23,CHEMBL247028.txt
7,-8.4,7.702999999999999,10.431,CHEMBL247028.txt
8,-8.4,2.249,3.176,CHEMBL247028.txt
9,-8.4,7.648,10.324000000000002,CHEMBL247028.txt
1,-8.5,0.0,0.0,CHEMBL240747.txt
2,-8.2,3.7030000000000003,6.146,CHEMBL240747.txt
3,-8.1,4.363,6.696000000000001,CHEMBL240747.txt
4,-8.1,2.064,4.1339999999999995,CHEMBL240747.txt
5,-8.0,3.832,5.84,CHEMBL240747.txt
6,-7.9,3.485,4.982,CHEMBL240747.txt
7,-7.9,4.253,6.419,CHEMBL240747.txt
8,-7.9,3.839,9.07,CHEMBL240747.txt
9,-7.8,1.824,10.112,CHEMBL240747.txt
1,-7.0,0.0,0.0,CHEMBL245401.txt
2,-6.9,2.312,3.446,CHEMBL245401.txt
3,-6.8,14.265,15.33,CHEMBL245401.txt
4,-6.7,1.704,2.354,CHEMBL245401.txt
5,-6.7,1.318,5.012,CHEMBL245401.txt
6,-6.7,2.395,4.062,CHEMBL245401.txt
7,-6.6,2.725,5.742999999999999,CHEMBL245401.txt
8,-6.6,2.628,4.958,CHEMBL245401.txt
9,-6.6,4.265,7.295,CHEMBL245401.txt
1,-8.5,0.0,0.0,CHEMBL248680.txt
2,-7.8,1.5030000000000001,2.2319999999999998,CHEMBL248680.txt
3,-7.6,3.306,7.105,CHEMBL248680.txt
4,-7.4,3.278,6.917999999999999,CHEMBL248680.txt
5,-7.3,2.7910000000000004,4.638,CHEMBL248680.txt
6,-7.0,3.3760000000000003,7.025,CHEMBL248680.txt
7,-6.8,3.61,6.107,CHEMBL248680.txt
8,-6.8,18.47,20.853,CHEMBL248680.txt
9,-6.8,10.097999999999999,13.311,CHEMBL248680.txt
1,-8.0,0.0,0.0,CHEMBL243931.txt
2,-8.0,3.431,8.341000000000001,CHEMBL243931.txt
3,-7.8,2.408,4.4430000000000005,CHEMBL243931.txt
4,-7.8,3.333,6.117000000000001,CHEMBL243931.txt
5,-7.7,1.676,3.158,CHEMBL243931.txt
6,-7.7,2.7769999999999997,4.524,CHEMBL243931.txt
7,-7.6,2.73,5.374,CHEMBL243931.txt
8,-7.5,2.464,4.404,CHEMBL243931.txt
9,-7.4,4.753,9.031,CHEMBL243931.txt
1,-8.6,0.0,0.0,CHEMBL248870.txt
2,-8.5,4.016,8.837,CHEMBL248870.txt
3,-8.1,4.64,9.477,CHEMBL248870.txt
4,-8.0,2.141,4.204,CHEMBL248870.txt
5,-8.0,3.56,4.789,CHEMBL248870.txt
6,-8.0,3.22,9.291,CHEMBL248870.txt
7,-8.0,3.677,10.18,CHEMBL248870.txt
8,-7.9,4.667,10.365,CHEMBL248870.txt
9,-7.9,4.327,9.732999999999999,CHEMBL248870.txt
1,-10.8,0.0,0.0,CHEMBL2420922.txt
2,-10.7,2.464,5.476,CHEMBL2420922.txt
3,-10.3,2.426,6.816,CHEMBL2420922.txt
